"","userID","gameCode","sessionID","repetitionID","hand","includeInt","accuracy","amountOfData","centerCircle","circleCenterX","circleCenterY","date","device","distanceTot","dpi","margin","radiusCenter","screenHeight","screenWidth","startTime","time","raggioEsterno","raggioInterno","dominantHand"
"21","MB_AB_11_bf9f1d6d","circleAccuracy","6fba16cf134bef3b2e9875b4db1f1eb5",3,"destra",0,0.9883022,132,1917.291,540,888,"05/03/2015 13-31-21","LGE Nexus 5",1920.127,442.898,87.18465,305.1463,1776,1080,59.25189,2.217976,348.738625,261.553975,"destra"
"22","MB_AB_12_64ae9d3b","circleAccuracy","9c6a2952288df556dd03977d4f3521c7",1,"destra",0,0.973119,136,1917.291,540,888,"05/03/2015 16-17-10","LGE Nexus 5",1865.752,442.898,87.18465,305.1463,1776,1080,162.5522,2.569916,348.738625,261.553975,"destra"
"23","MB_AB_12_64ae9d3b","circleAccuracy","9c6a2952288df556dd03977d4f3521c7",2,"destra",0,0.9916722,139,1917.291,540,888,"05/03/2015 16-17-17","LGE Nexus 5",1917.603,442.898,87.18465,305.1463,1776,1080,168.4806,2.422684,348.738625,261.553975,"destra"
"24","MB_AB_12_64ae9d3b","circleAccuracy","9c6a2952288df556dd03977d4f3521c7",3,"destra",0,0.9964773,138,1917.291,540,888,"05/03/2015 16-17-23","LGE Nexus 5",1921.85,442.898,87.18465,305.1463,1776,1080,174.0261,2.438583,348.738625,261.553975,"destra"
"25","MB_AB_13_3a601ab1","circleAccuracy","bc1a5fadf71dfddf0c84f3dfb3392c4d",1,"destra",0,0.9983624,168,1917.291,540,888,"08/03/2015 09-18-21","LGE Nexus 5",1933.124,442.898,87.18465,305.1463,1776,1080,154.0515,2.890854,348.738625,261.553975,"destra"
"26","MB_AB_13_3a601ab1","circleAccuracy","bc1a5fadf71dfddf0c84f3dfb3392c4d",2,"destra",0,0.997977,127,1917.291,540,888,"08/03/2015 09-18-58","LGE Nexus 5",1935.252,442.898,87.18465,305.1463,1776,1080,159.7171,2.172028,348.738625,261.553975,"destra"
"27","MB_AB_13_3a601ab1","circleAccuracy","bc1a5fadf71dfddf0c84f3dfb3392c4d",3,"destra",0,0.9960856,118,1917.291,540,888,"08/03/2015 09-19-03","LGE Nexus 5",1932.146,442.898,87.18465,305.1463,1776,1080,164.6792,2.005295,348.738625,261.553975,"destra"
"28","MB_AB_14_0a753dbd","circleAccuracy","d8ba929a6f17d9a072d590411dc0e6f1",1,"destra",0,0.9945523,221,1917.291,540,888,"10/03/2015 09-58-14","LGE Nexus 5",1917.662,442.898,87.18465,305.1463,1776,1080,122.3224,3.786797,348.738625,261.553975,"destra"
"29","MB_AB_14_0a753dbd","circleAccuracy","d8ba929a6f17d9a072d590411dc0e6f1",2,"destra",0,0.9972619,227,1917.291,540,888,"10/03/2015 09-58-20","LGE Nexus 5",1922.671,442.898,87.18465,305.1463,1776,1080,127.9438,3.820786,348.738625,261.553975,"destra"
"30","MB_AB_14_0a753dbd","circleAccuracy","d8ba929a6f17d9a072d590411dc0e6f1",3,"destra",0,0.9978829,214,1917.291,540,888,"10/03/2015 09-58-26","LGE Nexus 5",1920.443,442.898,87.18465,305.1463,1776,1080,134.752,3.670197,348.738625,261.553975,"destra"
"31","MB_AB_15_352e75cc","circleAccuracy","f6ae5e55ff247606d9ecb930824bbfcb",1,"destra",0,0.9963796,204,1917.291,540,888,"11/03/2015 15-23-53","LGE Nexus 5",1922.012,442.898,87.18465,305.1463,1776,1080,93.12853,3.480057,348.738625,261.553975,"destra"
"32","MB_AB_15_352e75cc","circleAccuracy","f6ae5e55ff247606d9ecb930824bbfcb",2,"destra",0,0.9992206,189,1917.291,540,888,"11/03/2015 15-24-00","LGE Nexus 5",1929.397,442.898,87.18465,305.1463,1776,1080,98.71501,3.227844,348.738625,261.553975,"destra"
"33","MB_AB_15_352e75cc","circleAccuracy","f6ae5e55ff247606d9ecb930824bbfcb",3,"destra",0,0.9937134,171,1917.291,540,888,"11/03/2015 15-24-05","LGE Nexus 5",1924.342,442.898,87.18465,305.1463,1776,1080,103.7826,2.877785,348.738625,261.553975,"destra"
"34","MB_AB_16_c05c965c","circleAccuracy","8e2298f116904e6ac85a2c47df4186cf",1,"destra",0,0.9931064,217,1917.291,540,888,"11/03/2015 16-52-44","LGE Nexus 5",1917.675,442.898,87.18465,305.1463,1776,1080,83.45171,3.722969,348.738625,261.553975,"destra"
"35","MB_AB_16_c05c965c","circleAccuracy","8e2298f116904e6ac85a2c47df4186cf",2,"destra",0,0.9976913,165,1917.291,540,888,"11/03/2015 16-52-53","LGE Nexus 5",1922.299,442.898,87.18465,305.1463,1776,1080,89.29626,2.824234,348.738625,261.553975,"destra"
"36","MB_AB_16_c05c965c","circleAccuracy","8e2298f116904e6ac85a2c47df4186cf",3,"destra",0,0.9954154,170,1917.291,540,888,"11/03/2015 16-52-58","LGE Nexus 5",1925.531,442.898,87.18465,305.1463,1776,1080,94.37634,2.924553,348.738625,261.553975,"destra"
"37","MB_AB_17_23b89739","circleAccuracy","8c649f02c00181415f987514fca97f46",1,"destra",0,0.4241451,197,1917.291,540,888,"11/03/2015 21-34-41","LGE Nexus 5",1924.147,442.898,87.18465,305.1463,1776,1080,85.8209,3.348976,348.738625,261.553975,"destra"
"38","MB_AB_17_23b89739","circleAccuracy","8c649f02c00181415f987514fca97f46",2,"destra",0,0.7210199,225,1917.291,540,888,"11/03/2015 21-34-48","LGE Nexus 5",1922.011,442.898,87.18465,305.1463,1776,1080,91.16223,3.834976,348.738625,261.553975,"destra"
"39","MB_AB_17_23b89739","circleAccuracy","8c649f02c00181415f987514fca97f46",3,"destra",0,0.9983965,196,1917.291,540,888,"11/03/2015 21-34-54","LGE Nexus 5",1924.065,442.898,87.18465,305.1463,1776,1080,96.5722,3.331329,348.738625,261.553975,"destra"
"40","MB_AB_18_a81c5fb0","circleAccuracy","71b2d967f5c5ddcab180a9388fc096ed",1,"destra",0,0.9295696,156,1917.291,540,888,"12/03/2015 08-51-01","LGE Nexus 5",1925.05,442.898,87.18465,305.1463,1776,1080,107.6001,2.655891,348.738625,261.553975,"destra"
"41","MB_AB_18_a81c5fb0","circleAccuracy","71b2d967f5c5ddcab180a9388fc096ed",2,"destra",0,0.9305004,153,1917.291,540,888,"12/03/2015 08-51-06","LGE Nexus 5",1923.292,442.898,87.18465,305.1463,1776,1080,112.0601,2.638611,348.738625,261.553975,"destra"
"42","MB_AB_18_a81c5fb0","circleAccuracy","71b2d967f5c5ddcab180a9388fc096ed",3,"destra",0,0.9513638,135,1917.291,540,888,"12/03/2015 08-51-10","LGE Nexus 5",1922.929,442.898,87.18465,305.1463,1776,1080,117.1371,2.271706,348.738625,261.553975,"destra"
"43","MB_AB_19_b484f2ab","circleAccuracy","3dfabd8b66fe04610b374e3b8184928e",1,"destra",0,0.7799485,104,1917.291,540,888,"12/03/2015 10-15-38","LGE Nexus 5",1923.046,442.898,87.18465,305.1463,1776,1080,121.8144,1.771904,348.738625,261.553975,"destra"
"44","MB_AB_19_b484f2ab","circleAccuracy","3dfabd8b66fe04610b374e3b8184928e",2,"destra",0,0.0180572,113,1917.291,540,888,"12/03/2015 10-15-43","LGE Nexus 5",1637.582,442.898,87.18465,305.1463,1776,1080,128.4174,2.171112,348.738625,261.553975,"destra"
"45","MB_AB_19_b484f2ab","circleAccuracy","3dfabd8b66fe04610b374e3b8184928e",3,"destra",0,0.04847372,87,1917.291,540,888,"12/03/2015 10-15-50","LGE Nexus 5",1591.795,442.898,87.18465,305.1463,1776,1080,134.6505,1.771591,348.738625,261.553975,"destra"
"46","MB_AB_19_b484f2ab","circleAccuracy","95905202a48fccc2bd719ee30fe9bff9",1,"destra",0,0.9990663,93,1917.291,540,888,"12/03/2015 10-18-16","LGE Nexus 5",1930.06,442.898,87.18465,305.1463,1776,1080,278.0104,1.639221,348.738625,261.553975,"destra"
"47","MB_AB_19_b484f2ab","circleAccuracy","95905202a48fccc2bd719ee30fe9bff9",2,"destra",0,0.9997047,103,1917.291,540,888,"12/03/2015 10-18-19","LGE Nexus 5",1928.428,442.898,87.18465,305.1463,1776,1080,281.4891,1.7565,348.738625,261.553975,"destra"
"48","MB_AB_19_b484f2ab","circleAccuracy","95905202a48fccc2bd719ee30fe9bff9",3,"destra",0,0.9813884,117,1917.291,540,888,"12/03/2015 10-18-23","LGE Nexus 5",1903.613,442.898,87.18465,305.1463,1776,1080,284.7168,2.191589,348.738625,261.553975,"destra"
"49","MB_AB_20_5bb46e3d","circleAccuracy","08d00856207d2a1d7ccf5d2e093c50c4",1,"destra",0,0.9936889,221,1917.291,540,888,"14/03/2015 15-22-04","LGE Nexus 5",1919.508,442.898,87.18465,305.1463,1776,1080,189.5418,3.720612,348.738625,261.553975,"destra"
"50","MB_AB_20_5bb46e3d","circleAccuracy","08d00856207d2a1d7ccf5d2e093c50c4",2,"destra",0,0.9954021,206,1917.291,540,888,"14/03/2015 15-22-14","LGE Nexus 5",1922.404,442.898,87.18465,305.1463,1776,1080,207.7755,3.555771,348.738625,261.553975,"destra"
"51","MB_AB_20_5bb46e3d","circleAccuracy","08d00856207d2a1d7ccf5d2e093c50c4",3,"destra",0,0.9975434,194,1917.291,540,888,"14/03/2015 15-22-32","LGE Nexus 5",1924.747,442.898,87.18465,305.1463,1776,1080,215.4183,3.253769,348.738625,261.553975,"destra"
"52","MB_AB_21_8592840d","circleAccuracy","224a3109887483a6812c811b0ed044e0",1,"destra",0,0.9905604,193,1917.291,540,888,"17/03/2015 11-26-07","LGE Nexus 5",1921.996,442.898,87.18465,305.1463,1776,1080,54.30987,3.309402,348.738625,261.553975,"destra"
"53","MB_AB_21_8592840d","circleAccuracy","224a3109887483a6812c811b0ed044e0",2,"destra",0,0.992508,181,1917.291,540,888,"17/03/2015 11-26-13","LGE Nexus 5",1919.955,442.898,87.18465,305.1463,1776,1080,59.45682,3.0616,348.738625,261.553975,"destra"
"54","MB_AB_21_8592840d","circleAccuracy","224a3109887483a6812c811b0ed044e0",3,"destra",0,0.9877813,165,1917.291,540,888,"17/03/2015 11-26-18","LGE Nexus 5",1922.195,442.898,87.18465,305.1463,1776,1080,64.20291,2.891403,348.738625,261.553975,"destra"
"55","MB_AB_22_3a5c6fed","circleAccuracy","a2978e3d5edb0c8c8451be9491f1d9c4",1,"destra",0,0.9989669,156,1917.291,540,888,"17/03/2015 13-49-27","LGE Nexus 5",1925.31,442.898,87.18465,305.1463,1776,1080,89.53161,2.686432,348.738625,261.553975,"destra"
"56","MB_AB_22_3a5c6fed","circleAccuracy","a2978e3d5edb0c8c8451be9491f1d9c4",2,"destra",0,0.9740216,191,1917.291,540,888,"17/03/2015 13-49-33","LGE Nexus 5",1918.141,442.898,87.18465,305.1463,1776,1080,94.10373,3.271141,348.738625,261.553975,"destra"
"57","MB_AB_22_3a5c6fed","circleAccuracy","a2978e3d5edb0c8c8451be9491f1d9c4",3,"destra",0,0.9975502,156,1917.291,540,888,"17/03/2015 13-49-38","LGE Nexus 5",1926.034,442.898,87.18465,305.1463,1776,1080,98.92648,2.670944,348.738625,261.553975,"destra"
"58","MB_AB_22_3a5c6fed","circleAccuracy","d061e97035433b4ff6baeae5665e87ed",1,"destra",0,0.842283,124,1917.291,540,888,"17/03/2015 13-51-34","LGE Nexus 5",1921.996,442.898,87.18465,305.1463,1776,1080,215.5013,2.120438,348.738625,261.553975,"destra"
"59","MB_AB_22_3a5c6fed","circleAccuracy","d061e97035433b4ff6baeae5665e87ed",2,"destra",0,0.9994981,119,1917.291,540,888,"17/03/2015 13-51-38","LGE Nexus 5",1935.744,442.898,87.18465,305.1463,1776,1080,219.0738,1.986328,348.738625,261.553975,"destra"
"60","MB_AB_22_3a5c6fed","circleAccuracy","d061e97035433b4ff6baeae5665e87ed",3,"destra",0,0.9927611,141,1917.291,540,888,"17/03/2015 13-51-42","LGE Nexus 5",1919.032,442.898,87.18465,305.1463,1776,1080,222.5626,2.386917,348.738625,261.553975,"destra"
"61","MB_AC_01_daa3215e","circleAccuracy","e603e4542d3868cbac62560762915354",1,"destra",0,0.9985889,148,1831.367,540,888,"22/03/2015 13-57-58","LGE LG-D802",1849.322,423.0495,83.27746,291.4711,1776,1080,108.9429,2.656425,333.10983,249.83237,"destra"
"62","MB_AC_01_daa3215e","circleAccuracy","e603e4542d3868cbac62560762915354",2,"destra",0,0.987586,162,1831.367,540,888,"22/03/2015 13-58-05","LGE LG-D802",1834.834,423.0495,83.27746,291.4711,1776,1080,115.7354,2.875031,333.10983,249.83237,"destra"
"63","MB_AC_01_daa3215e","circleAccuracy","e603e4542d3868cbac62560762915354",3,"destra",0,0.9923124,173,1831.367,540,888,"22/03/2015 13-58-12","LGE LG-D802",1833.638,423.0495,83.27746,291.4711,1776,1080,122.0749,2.976395,333.10983,249.83237,"destra"
"64","MB_AC_02_7c62024a","circleAccuracy","c55ab1950c716aa3a37df82a56b2401b",1,"destra",0,0,97,1831.367,540,888,"22/03/2015 17-15-26","LGE LG-D802",1567.477,423.0495,83.27746,291.4711,1776,1080,136.8345,1.865906,333.10983,249.83237,"destra"
"65","MB_AC_02_7c62024a","circleAccuracy","c55ab1950c716aa3a37df82a56b2401b",2,"destra",0,0.1116627,52,1831.367,540,888,"22/03/2015 17-15-41","LGE LG-D802",1433.966,423.0495,83.27746,291.4711,1776,1080,148.9121,1.075562,333.10983,249.83237,"destra"
"66","MB_AC_02_7c62024a","circleAccuracy","c55ab1950c716aa3a37df82a56b2401b",3,"destra",0,0.02423668,144,1831.367,540,888,"22/03/2015 17-15-52","LGE LG-D802",1616.025,423.0495,83.27746,291.4711,1776,1080,153.2186,2.675323,333.10983,249.83237,"destra"
"67","MB_AC_03_5e0a29f2","circleAccuracy","80cd3c46a26812b876633606f473d1eb",1,"destra",0,0.8806887,55,1831.367,540,888,"23/03/2015 10-14-17","LGE LG-D802",1839.433,423.0495,83.27746,291.4711,1776,1080,126.4026,0.974884,333.10983,249.83237,"destra"
"68","MB_AC_03_5e0a29f2","circleAccuracy","80cd3c46a26812b876633606f473d1eb",2,"destra",0,0.8407145,55,1831.367,540,888,"23/03/2015 10-14-21","LGE LG-D802",1869.542,423.0495,83.27746,291.4711,1776,1080,130.5605,0.9866943,333.10983,249.83237,"destra"
"69","MB_AC_03_5e0a29f2","circleAccuracy","80cd3c46a26812b876633606f473d1eb",3,"destra",0,0.6597654,84,1831.367,540,888,"23/03/2015 10-14-25","LGE LG-D802",1831.199,423.0495,83.27746,291.4711,1776,1080,133.3686,1.67511,333.10983,249.83237,"destra"
"70","MB_AC_04_6d936ddd","circleAccuracy","c1bf2f1200412f8736f0bfa9e989219f",1,"destra",0,0.9936892,120,1831.367,540,888,"23/03/2015 11-06-31","LGE LG-D802",1841.557,423.0495,83.27746,291.4711,1776,1080,194.332,2.068314,333.10983,249.83237,"destra"
"71","MB_AC_04_6d936ddd","circleAccuracy","c1bf2f1200412f8736f0bfa9e989219f",2,"destra",0,0.9987007,109,1831.367,540,888,"23/03/2015 11-06-38","LGE LG-D802",1847.569,423.0495,83.27746,291.4711,1776,1080,200.4711,1.86676,333.10983,249.83237,"destra"
"72","MB_AC_04_6d936ddd","circleAccuracy","c1bf2f1200412f8736f0bfa9e989219f",3,"destra",0,0.9901559,93,1831.367,540,888,"23/03/2015 11-06-43","LGE LG-D802",1837.6,423.0495,83.27746,291.4711,1776,1080,205.1469,1.597748,333.10983,249.83237,"destra"
"73","MB_AC_05_616ba5dd","circleAccuracy","17174faadfeaa014c486dda6da6f4ca3",1,"destra",0,0.9973897,279,1831.367,540,888,"23/03/2015 11-37-46","LGE LG-D802",1835.014,423.0495,83.27746,291.4711,1776,1080,101.0193,4.895973,333.10983,249.83237,"destra"
"74","MB_AC_05_616ba5dd","circleAccuracy","17174faadfeaa014c486dda6da6f4ca3",2,"destra",0,0.9967825,306,1831.367,540,888,"23/03/2015 11-37-55","LGE LG-D802",1834.679,423.0495,83.27746,291.4711,1776,1080,108.994,5.349045,333.10983,249.83237,"destra"
"75","MB_AC_05_616ba5dd","circleAccuracy","17174faadfeaa014c486dda6da6f4ca3",3,"destra",0,0.9970679,258,1831.367,540,888,"23/03/2015 11-38-03","LGE LG-D802",1834.949,423.0495,83.27746,291.4711,1776,1080,116.9679,4.458046,333.10983,249.83237,"destra"
"76","MB_AC_06_e43bdfa2","circleAccuracy","c4d85a54219cc598563f2f0469f29fff",1,"destra",0,0.9181471,96,1831.367,540,888,"23/03/2015 13-26-09","LGE LG-D802",1841.622,423.0495,83.27746,291.4711,1776,1080,106.3958,1.633232,333.10983,249.83237,"destra"
"77","MB_AC_06_e43bdfa2","circleAccuracy","c4d85a54219cc598563f2f0469f29fff",2,"destra",0,0.99882,83,1831.367,540,888,"23/03/2015 13-26-15","LGE LG-D802",1854.263,423.0495,83.27746,291.4711,1776,1080,109.7777,1.429512,333.10983,249.83237,"destra"
