"userID";"gameCode";"sessionID";"repetitionID";"hand";"KeyValue";"Value";"includeInt"
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"accuracy";"0.8336551";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"amountOfData";"255";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"centerCircle";"930.8663";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"circleCenterX";"240";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"circleCenterY";"400";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"date";"09/03/2015 16-46-16";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"device";"samsung SM-G350";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"distanceTot";"931.1122";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"dpi";"215.032";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"margin";"42.32914";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"radiusCenter";"148.152";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"screenHeight";"800";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"screenWidth";"480";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"startTime";"118.8439";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";1;"destra";"time";"4.707977";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"accuracy";"0.9976259";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"amountOfData";"212";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"centerCircle";"930.8663";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"circleCenterX";"240";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"circleCenterY";"400";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"date";"09/03/2015 16-46-25";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"device";"samsung SM-G350";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"distanceTot";"933.1284";0
"MB_SZ_18_e8fb90d4";"circleAccuracy";"01faacfb2b123ea575c6cfb387e4c69b";2;"destra";"dpi";"215.032";0
